2025-02-19 15:09:35,928 p=11995 u=marwiesing n=ansible | Starting galaxy role install process
2025-02-19 15:09:36,212 p=11995 u=marwiesing n=ansible | - downloading role 'docker', owned by geerlingguy
2025-02-19 15:09:36,765 p=11995 u=marwiesing n=ansible | - downloading role from https://github.com/geerlingguy/ansible-role-docker/archive/7.4.5.tar.gz
2025-02-19 15:09:37,273 p=11995 u=marwiesing n=ansible | - extracting geerlingguy.docker to /home/marwiesing/.ansible/roles/geerlingguy.docker
2025-02-19 15:09:37,280 p=11995 u=marwiesing n=ansible | - geerlingguy.docker (7.4.5) was installed successfully
2025-02-19 15:09:47,758 p=11998 u=marwiesing n=ansible | ERROR! the playbook: pb_install_docker.yml could not be found
2025-02-19 15:10:07,219 p=12012 u=marwiesing n=ansible | PLAY [Install Docker on all machines] ***************************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:07,226 p=12012 u=marwiesing n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:08,617 p=12012 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:10:08,631 p=12012 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:10:08,643 p=12012 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:10:08,677 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Load OS-specific vars.] **************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:08,724 p=12012 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:10:08,737 p=12012 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:10:08,744 p=12012 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:10:08,750 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:08,787 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:08,789 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
